Overall Accuracy: 99.97551620011426
Class 1 Accuracy: 99.98073217726397
Class 2 Accuracy: 99.97411472354524
Predict	Actual	Dist. from plane
1	1	-3.26954
2	2	8.12152
2	2	6.76215
2	2	6.51993
2	2	6.59378
2	2	6.27251
2	2	6.58802
2	2	7.03922
2	2	6.90913
2	2	7.15300
2	2	6.80671
2	2	6.97455
2	2	7.80990
1	1	-3.63177
2	2	6.72532
2	2	6.54261
2	2	6.62700
2	2	6.76819
2	2	6.24361
2	2	6.28429
1	1	-2.33503
2	2	8.57660
2	2	6.56958
1	1	-2.38972
2	2	6.26887
2	2	6.96441
1	1	-3.46177
2	2	6.94671
2	2	7.15768
2	2	6.24333
2	2	6.64883
2	2	6.24334
2	2	6.24335
2	2	7.15619
1	1	-3.92191
2	2	6.63539
1	1	-2.69523
2	2	6.35305
2	2	6.84242
2	2	6.45923
2	2	7.15410
2	2	6.84805
2	2	7.09112
2	2	6.85252
2	2	6.24351
2	2	4.93509
2	2	6.68751
2	2	6.24378
2	2	6.85622
2	2	6.88950
2	2	6.58169
2	2	6.24581
2	2	6.98351
2	2	6.24339
2	2	6.28959
2	2	6.76048
2	2	6.24334
2	2	6.89655
2	2	6.67091
2	2	6.25619
2	2	6.90320
2	2	6.24367
2	2	6.24335
2	2	7.19292
2	2	7.58067
1	1	-3.49621
2	2	6.24569
2	2	6.27673
2	2	6.25432
2	2	6.24751
2	2	6.24344
2	2	6.25026
2	2	6.86205
2	2	7.15852
2	2	6.79194
2	2	2.88057
2	2	7.36057
2	2	6.25954
2	2	6.24335
2	2	6.25168
2	2	6.26142
1	1	-1.62605
1	1	-3.02851
2	2	6.56751
2	2	6.25619
2	2	6.25668
2	2	6.24434
1	1	-3.81319
2	2	6.58550
2	2	7.78995
2	2	6.33529
2	2	6.72722
2	2	6.97455
2	2	6.84635
2	2	6.31004
2	2	6.27622
2	2	11.85509
1	1	-3.44194
2	2	6.24334
1	1	-2.72912
2	2	6.73324
1	1	-2.73462
2	2	6.67761
2	2	10.53804
2	2	7.18992
2	2	6.09017
1	1	-2.94076
2	2	6.27298
2	2	6.94671
2	2	6.24653
2	2	6.40857
2	2	7.04933
2	2	6.24427
2	2	6.27535
2	2	6.24341
2	2	12.83543
2	2	6.26071
2	2	6.64110
1	1	-3.35443
1	1	-3.63835
2	2	6.26204
2	2	6.70310
2	2	6.85672
1	1	-2.96929
2	2	6.91331
2	2	6.78364
2	2	6.64393
2	2	6.73530
1	1	-3.19120
2	2	6.23598
2	2	6.24353
2	2	6.89655
1	1	-7.06583
2	2	6.24334
2	2	6.48683
2	2	7.17400
2	2	6.84578
2	2	6.89589
1	1	-3.33611
2	2	6.29251
2	2	6.25415
2	2	6.76038
2	2	6.24560
1	1	-4.01589
2	2	6.24333
2	2	7.03922
2	2	6.24493
2	2	6.65684
2	2	6.24404
1	1	-3.11011
2	2	6.26307
2	2	6.58330
2	2	6.89869
2	2	6.84219
2	2	6.24355
1	1	-3.79232
2	2	6.55014
2	2	6.35426
2	2	9.51807
2	2	6.25832
2	2	7.00871
1	1	-2.18853
2	2	7.14569
2	2	10.42967
2	2	6.73324
2	2	6.93021
1	1	-2.70081
2	2	6.25884
1	1	-2.78633
2	2	6.27156
2	2	7.28066
2	2	6.91331
2	2	6.24603
2	2	6.59420
1	1	-5.04861
2	2	6.27282
2	2	6.65684
1	1	-1.14519
2	2	6.26708
2	2	6.26887
2	2	6.61968
1	1	-3.33324
1	1	-4.69502
2	2	12.17112
2	2	6.93142
2	2	6.87938
1	1	-3.62543
2	2	6.26434
2	2	6.24335
2	2	6.25323
2	2	6.29215
1	1	-4.83943
2	2	6.38297
2	2	6.58929
2	2	6.26257
2	2	6.24339
2	2	6.55424
2	2	7.80990
1	1	-4.14567
1	1	-3.28445
1	1	-2.63756
1	1	-2.65063
1	1	-3.69403
2	2	6.72804
1	1	-4.29407
2	2	6.27031
2	2	7.10174
2	2	6.58169
1	1	-2.18172
2	2	7.06878
2	2	6.72965
2	2	6.25763
2	2	6.64393
2	2	6.75129
2	2	6.24337
1	1	-2.83673
2	2	6.61968
2	2	10.44134
2	2	6.91355
1	1	-3.00195
2	2	6.24336
2	2	7.69394
2	2	6.85634
2	2	6.27534
2	2	6.73420
2	2	7.03962
2	2	1.66172
2	2	6.26922
2	2	6.24345
2	2	9.99843
2	2	7.09112
2	2	6.24334
2	2	6.73263
2	2	6.24334
2	2	6.58169
2	2	6.55428
1	1	-3.09033
2	2	6.59957
1	1	-2.99689
1	1	-2.35436
2	2	6.24959
2	2	6.71988
2	2	6.37356
2	2	6.27084
2	2	4.22836
2	2	6.25956
2	2	6.24336
2	2	6.33686
2	2	6.90320
2	2	6.25790
2	2	6.27734
1	1	-4.29779
2	2	7.14569
2	2	6.83936
2	2	6.31704
2	2	7.00865
2	2	6.24336
1	1	-2.48766
2	2	6.49729
1	1	-3.01281
2	2	7.11182
2	2	6.74083
2	2	6.28201
2	2	6.27155
2	2	7.49990
2	2	7.23062
1	1	-4.07435
2	2	6.73324
2	2	8.84278
2	2	7.31492
2	2	6.96906
2	2	7.04475
2	2	4.68143
2	2	6.29051
2	2	6.88950
2	2	6.85545
2	2	6.92433
2	2	6.89183
2	2	6.87355
2	2	6.25206
2	2	6.63547
2	2	8.17102
2	2	6.25619
2	2	7.11727
2	2	6.24334
1	1	-3.79756
2	2	6.72965
1	1	-4.27904
2	2	6.24589
2	2	7.93847
2	2	7.09740
1	1	-2.12066
1	1	-2.32328
2	2	6.85672
2	2	6.26000
2	2	6.93143
1	1	-3.32402
1	1	-2.36816
2	2	6.24338
2	2	6.94399
2	2	7.20944
2	2	6.27676
2	2	6.83525
2	2	6.93142
2	2	7.04475
1	1	-3.10819
2	2	6.34251
2	2	6.37773
2	2	5.82050
2	2	6.26561
2	2	6.72532
2	2	6.81952
1	1	-2.04964
1	1	-1.85297
1	1	-2.37751
1	1	-3.36276
2	2	6.25293
2	2	6.73439
2	2	6.85867
2	2	6.24333
2	2	6.26112
1	1	-3.78339
2	2	7.07267
2	2	6.96314
2	2	6.73420
2	2	6.25206
2	2	6.44727
2	2	6.76284
2	2	6.26561
1	1	-4.52038
2	2	6.66629
1	1	-4.14048
2	2	7.00510
2	2	7.05951
2	2	8.12160
2	2	6.27179
2	2	6.69556
2	2	6.88950
2	2	7.63115
1	1	-2.06398
2	2	6.27045
2	2	6.25820
2	2	6.94982
2	2	7.11878
1	1	-5.36909
2	2	6.60181
2	2	6.76683
2	2	6.55022
1	1	-2.92341
2	2	6.24413
1	1	-4.08974
2	2	6.24391
1	1	-3.46177
2	2	7.35469
2	2	6.29701
2	2	6.59957
2	2	6.85280
2	2	7.00645
2	2	6.24335
2	2	7.23928
2	2	6.24386
1	1	-3.00087
2	2	6.25415
2	2	6.67147
2	2	7.31492
1	1	-2.90817
2	2	7.15619
2	2	6.27221
2	2	6.75993
2	2	8.69599
2	2	6.24358
2	2	7.31430
2	2	11.85874
1	1	-4.42466
2	2	7.04475
1	1	-3.23630
2	2	6.24337
2	2	7.08790
2	2	6.29592
2	2	6.59378
2	2	6.24964
2	2	6.24333
2	2	3.62147
2	2	6.70456
2	2	6.88196
2	2	6.63539
2	2	7.35469
2	2	6.65847
2	2	7.00450
1	1	-3.05740
2	2	6.64393
2	2	5.69013
1	1	-3.86960
2	2	6.25190
1	1	-3.60787
2	2	6.86477
2	2	7.68354
2	2	7.19359
2	2	6.22094
2	2	6.24340
2	2	6.26266
2	2	7.80990
1	1	-3.39094
1	1	-2.21188
2	2	6.57844
2	2	6.79378
2	2	6.82553
2	2	6.71957
1	1	-2.03769
2	2	6.68384
2	2	6.24340
2	2	6.25616
1	1	-1.59257
2	2	7.15278
1	1	-2.82660
2	2	7.07758
2	2	6.26948
2	2	6.84805
2	2	6.83805
1	1	-3.96700
2	2	6.58948
1	1	-5.52062
2	2	7.61656
2	2	6.78497
2	2	6.25091
2	2	6.33036
2	2	6.25619
2	2	6.84959
2	2	6.57758
1	1	-3.62543
2	2	6.26561
2	2	6.59298
2	2	6.65684
2	2	6.90010
2	2	7.21733
2	2	6.88117
2	2	6.25585
2	2	6.29051
1	1	-1.98899
2	2	6.31138
2	2	8.03868
2	2	6.26989
2	2	6.24589
2	2	6.50892
2	2	6.52977
2	2	7.04846
2	2	6.27534
2	2	6.84805
1	1	-6.01731
1	1	-3.27187
2	2	6.24594
2	2	6.24752
2	2	6.47874
2	2	6.85622
2	2	6.97328
2	2	6.24334
2	2	7.31467
2	2	6.27156
1	1	-3.90499
2	2	6.93329
2	2	6.24335
2	2	6.85707
2	2	6.24452
2	2	6.73082
2	2	6.24334
2	2	6.66629
2	2	6.24333
2	2	6.24382
2	2	6.75993
2	2	6.80475
2	2	6.32269
1	1	-2.60605
2	2	7.12979
2	2	6.97351
2	2	7.24935
1	1	-2.37345
1	1	-2.00431
2	2	6.81763
1	1	-3.26023
1	1	-3.33922
2	2	6.30365
2	2	7.17914
2	2	6.19107
2	2	6.64484
2	2	6.86309
2	2	6.48989
2	2	6.24343
1	1	-8.06093
1	1	-4.63459
2	2	7.00865
1	1	-2.23432
2	2	6.25763
1	1	-4.86334
2	2	6.70933
2	2	6.25252
2	2	6.24345
2	2	6.72528
2	2	6.68384
1	1	-2.58798
2	2	6.25578
1	1	-3.14778
1	1	-3.53790
2	2	6.24742
1	1	-3.31150
2	2	6.24362
1	1	-3.29225
1	1	-3.49643
2	2	6.26887
2	2	6.49170
2	2	6.24337
2	2	6.91186
2	2	6.25767
2	2	7.08155
2	2	6.79855
2	2	7.11024
1	1	-2.30942
2	2	7.11878
2	2	6.96906
2	2	6.26293
1	1	-5.24963
1	1	-5.01396
1	1	-2.71410
2	2	6.61441
1	1	-1.80237
2	2	6.73439
2	2	6.71086
2	2	6.75141
2	2	6.67147
2	2	6.27146
2	2	7.31492
2	2	7.39380
1	1	-3.74529
2	2	7.02753
2	2	6.85545
2	2	6.72254
1	1	-2.70492
2	2	6.39377
2	2	6.24339
2	2	7.53101
1	1	-2.66080
1	1	-3.71834
2	2	7.17729
2	2	6.62889
2	2	6.24334
2	2	6.24419
1	1	-2.59462
1	1	-3.52596
2	2	6.30457
2	2	7.13692
2	2	6.76073
2	2	6.86551
2	2	6.64484
2	2	6.27198
2	2	6.47798
2	2	10.28602
2	2	6.82579
1	1	-2.65053
2	2	6.96906
2	2	7.12844
2	2	6.25040
1	1	-2.82311
2	2	8.13252
1	1	-2.37014
2	2	6.28127
2	2	6.27461
1	1	-2.47748
2	2	6.84242
2	2	6.94671
1	1	-3.24022
2	2	6.95325
2	2	7.88178
2	2	6.60620
2	2	6.61968
1	1	-4.07525
1	1	-3.07254
2	2	6.24551
2	2	6.59919
2	2	6.26532
1	1	-2.41272
2	2	6.73324
2	2	6.85634
2	2	11.40932
1	1	-3.94936
2	2	6.89869
2	2	7.19355
2	2	9.05654
2	2	6.69304
2	2	6.88581
2	2	7.11727
2	2	6.24339
2	2	6.26499
2	2	6.65074
2	2	6.85039
2	2	6.72722
2	2	6.81081
2	2	6.25733
2	2	6.87460
2	2	7.17699
1	1	-2.90714
2	2	7.00871
2	2	6.31319
2	2	6.24335
1	1	-2.49084
2	2	6.26698
1	1	-2.71410
2	2	5.82050
2	2	6.55872
2	2	6.42321
1	1	-3.70245
2	2	6.27512
1	1	-1.50421
2	2	6.75885
2	2	7.11932
2	2	7.12085
2	2	6.90280
1	1	-1.78982
2	2	6.24938
2	2	6.99964
2	2	6.58802
1	1	-2.06996
1	1	-2.25516
2	2	6.25232
2	2	6.85672
1	1	-4.40497
2	2	6.24479
2	2	6.24335
2	2	6.99964
2	2	6.25913
2	2	6.30972
2	2	1.73859
1	1	-3.10494
2	2	6.46174
2	2	6.24333
2	2	6.72965
2	2	6.24450
1	1	-3.07234
1	1	-2.86750
2	2	6.24337
2	2	6.71262
2	2	6.26792
2	2	6.83507
1	2	-0.25694
2	2	6.26887
2	2	6.63138
2	2	7.03962
2	2	6.38992
2	2	6.01896
2	2	7.08155
2	2	6.24334
2	2	8.19339
2	2	6.91355
2	2	6.87102
2	2	6.58903
1	1	-3.54125
2	2	6.65074
2	2	6.49963
2	2	10.60933
2	2	6.83507
1	1	-2.83296
2	2	6.47144
2	2	7.17914
2	2	6.29235
2	2	7.76342
1	1	-3.87998
1	1	-1.64394
2	2	7.00018
2	2	6.30583
2	2	6.24334
2	2	6.27592
1	1	-3.22120
2	2	6.40332
1	1	-2.71793
2	2	7.03962
2	2	6.24679
1	1	-4.98512
2	2	6.87460
2	2	6.29212
2	2	6.71521
2	2	6.60139
2	2	6.26561
2	2	7.04675
2	2	6.13983
2	2	6.73909
2	2	6.57252
2	2	6.71726
2	2	6.60181
1	1	-3.90673
1	1	-3.06002
2	2	6.26022
2	2	6.24333
2	2	7.00626
2	2	6.24343
2	2	7.08155
2	2	6.56725
2	2	6.26000
2	2	6.73388
2	2	6.33529
1	1	-1.93286
2	2	6.32217
2	2	6.84173
2	2	6.26922
1	1	-2.32476
2	2	6.85634
1	1	-1.86218
2	2	6.61346
2	2	6.63271
2	2	6.24343
2	2	7.94447
2	2	6.89944
2	2	6.42498
2	2	6.28965
2	2	6.72528
1	1	-3.29639
2	2	6.24442
2	2	6.72254
1	1	-3.11153
1	1	-2.41546
2	2	6.52205
1	1	-2.69506
2	2	6.40433
2	2	6.94399
2	2	6.26428
1	1	-3.38628
2	2	6.35121
2	2	5.94487
2	2	6.73324
2	2	7.70136
2	2	9.71346
2	2	6.89869
2	2	6.78376
2	2	6.95040
2	2	6.24334
2	2	6.83507
2	2	6.73324
2	2	6.92638
2	2	6.26709
2	2	6.88091
2	2	6.59957
1	1	-3.21697
1	1	-2.94205
2	2	6.25317
1	1	-3.02064
2	2	6.59487
2	2	6.83148
1	1	-3.58025
2	2	6.82061
2	2	6.25455
2	2	6.68717
2	2	6.99964
2	2	6.55184
2	2	6.84219
1	1	-2.56735
1	1	-5.02237
2	2	8.69942
2	2	6.81805
2	2	6.25016
2	2	7.01126
2	2	7.13692
1	1	-1.70968
2	2	10.54297
2	2	6.61968
2	2	6.25949
2	2	7.21733
1	1	-2.31557
2	2	6.87102
2	2	6.61233
1	1	-3.02972
2	2	7.05776
1	1	-2.84962
2	2	7.14123
2	2	6.85206
2	2	6.54446
2	2	6.65684
1	1	-6.63148
2	2	6.26294
2	2	7.00865
2	2	6.56805
2	2	6.78057
2	2	6.84959
2	2	7.42758
2	2	8.51628
2	2	6.29552
2	2	6.66901
2	2	6.32117
2	2	6.31618
2	2	7.21958
1	1	-3.42099
2	2	6.27867
2	2	7.00790
2	2	6.48854
2	2	6.85545
2	2	6.24385
2	2	6.85634
2	2	6.90913
2	2	7.15081
2	2	6.30104
2	2	6.26747
2	2	7.17729
1	1	-3.31543
2	2	6.69707
1	1	-3.10895
2	2	7.48660
2	2	7.13671
2	2	6.89869
2	2	6.85545
2	2	6.39801
2	2	6.43666
2	2	6.73263
2	2	7.13671
2	2	6.49083
2	2	6.27298
2	2	6.88581
2	2	6.24335
1	1	-1.40396
1	1	-2.09844
2	2	7.13243
2	2	6.24347
2	2	7.13671
2	2	6.24419
2	2	6.51654
1	1	-2.46971
2	2	6.79300
1	1	-3.40129
2	2	6.24339
2	2	6.24334
2	2	6.77621
2	2	6.56305
2	2	6.78575
2	2	6.67235
2	2	6.59378
2	2	1.67240
2	2	7.12844
1	1	-2.31144
1	1	-2.93475
1	1	-3.81584
2	2	6.24339
1	1	-2.40035
2	2	7.66023
2	2	6.60031
2	2	6.79378
2	2	6.70415
2	2	6.24333
2	2	6.24334
1	1	-2.46474
2	2	9.76563
2	2	6.24341
2	2	7.04933
2	2	6.58929
2	2	6.34554
2	2	6.72528
2	2	6.89035
2	2	7.04475
2	2	6.59957
1	1	-3.31896
2	2	7.28066
2	2	9.98772
2	2	6.24335
2	2	6.83507
2	2	11.44115
2	2	6.72254
2	2	6.24374
2	2	9.94815
2	2	6.24334
2	2	6.91186
1	1	-4.03683
1	1	-3.96834
2	2	7.35794
2	2	7.00193
2	2	6.61441
2	2	6.86205
2	2	6.84341
2	2	7.02048
2	2	6.84242
2	2	6.65684
2	2	6.59378
1	1	-3.53237
2	2	6.24382
2	2	6.26521
2	2	6.24386
2	2	6.24336
2	2	6.83507
1	1	-1.99545
2	2	6.68824
2	2	6.87454
2	2	6.25502
2	2	6.69439
2	2	5.91335
2	2	6.27155
2	2	6.89869
1	1	-2.19203
2	2	6.26399
2	2	6.55424
2	2	6.25954
2	2	6.86184
2	2	6.24344
2	2	7.08155
2	2	7.36252
1	1	-3.69403
2	2	6.62015
2	2	6.34923
2	2	6.94671
2	2	6.60403
2	2	11.22909
2	2	6.88950
2	2	6.26074
2	2	6.67809
1	1	-3.00040
2	2	6.65793
2	2	6.67366
2	2	6.91186
2	2	6.28657
2	2	6.66905
2	2	7.16246
2	2	6.87143
2	2	6.89589
2	2	8.60704
2	2	6.25540
2	2	7.00865
2	2	6.29530
1	1	-3.82307
2	2	6.24837
2	2	6.27653
2	2	6.33796
2	2	6.49293
2	2	6.67761
2	2	6.26167
1	1	-5.23355
2	2	6.26561
1	1	-4.11495
2	2	5.73650
2	2	6.24342
2	2	6.29527
2	2	6.72195
2	2	6.24480
2	2	7.07267
2	2	6.28409
2	2	6.85622
2	2	6.81010
2	2	6.73439
2	2	11.68492
2	2	7.13692
2	2	6.27645
2	2	6.31641
2	2	6.34783
2	2	6.26273
2	2	7.15619
2	2	6.24344
2	2	6.26405
2	2	6.32221
2	2	6.26576
2	2	6.64484
2	2	6.91355
2	2	6.72965
2	2	8.46769
2	2	6.66206
2	2	6.27156
2	2	6.28729
2	2	7.13692
2	2	7.03962
2	2	6.60283
2	2	6.24334
2	2	6.89586
2	2	6.72729
2	2	6.91331
2	2	6.25902
2	2	6.50909
2	2	6.85545
2	2	6.24357
2	2	6.27752
2	2	6.24336
1	1	-1.90558
2	2	6.73263
2	2	6.25064
1	1	-2.28938
2	2	6.24381
2	2	6.24348
2	2	6.62700
2	2	6.47081
2	2	7.17699
2	2	6.96314
2	2	6.26747
2	2	6.24653
2	2	6.63547
2	2	6.24472
2	2	7.15619
2	2	6.90836
2	2	6.24919
2	2	6.32573
2	2	7.03962
1	1	-1.26767
2	2	6.32242
1	1	-2.58095
2	2	6.67366
2	2	6.56510
2	2	6.71257
2	2	7.07020
2	2	6.24346
2	2	7.18992
2	2	6.72528
2	2	6.24368
2	2	6.28199
2	2	6.96441
2	2	6.24343
2	2	6.88235
2	2	6.85622
2	2	6.25415
1	1	-2.45793
2	2	6.62700
2	2	6.69421
2	2	6.88950
1	1	-3.47854
2	2	6.60620
2	2	7.03689
1	1	-4.06452
2	2	6.84387
2	2	7.06769
2	2	6.70121
2	2	6.91149
2	2	6.65684
2	2	6.79201
2	2	6.24340
2	2	7.08155
1	1	-2.76550
1	1	-4.06464
2	2	7.08155
2	2	6.59957
2	2	7.05951
2	2	6.77621
2	2	6.89655
2	2	6.88581
2	2	6.33839
2	2	6.24342
2	2	6.63287
2	2	6.24655
2	2	6.32733
1	1	-3.49077
1	1	-3.37868
2	2	6.88581
2	2	6.65684
2	2	5.19802
2	2	6.27863
2	2	10.08774
2	2	6.63497
2	2	7.26416
2	2	6.81252
2	2	7.71058
2	2	6.26792
2	2	6.24341
2	2	6.55566
2	2	7.09112
2	2	6.89655
1	1	-3.69961
2	2	6.88581
2	2	6.24337
2	2	11.24895
2	2	6.45381
2	2	6.89183
2	2	7.03105
2	2	7.80990
2	2	6.30592
2	2	6.58802
1	1	-3.56784
2	2	6.24339
2	2	6.85545
2	2	6.85634
2	2	6.63547
2	2	6.30215
2	2	6.85622
2	2	7.35469
2	2	6.56158
2	2	6.56366
2	2	6.89655
2	2	2.36672
2	2	6.83837
1	1	-1.95387
2	2	6.27156
1	1	-2.78094
2	2	6.42181
2	2	6.90320
2	2	6.26846
2	2	6.88581
2	2	6.29683
1	1	-2.41917
2	2	7.14047
1	1	-3.21472
2	2	6.74452
2	2	6.26491
2	2	6.80571
2	2	6.73263
2	2	6.54547
2	2	6.33200
2	2	6.71957
2	2	6.51687
2	2	7.11878
2	2	6.59378
2	2	6.46239
2	2	6.24387
1	1	-5.65828
2	2	7.09174
2	2	3.51991
1	1	-3.71864
2	2	7.10987
2	2	6.82922
2	2	6.26950
1	1	-2.52505
2	2	7.25967
2	2	6.24333
1	1	-1.95527
2	2	6.26905
1	1	-3.65184
2	2	6.28488
2	2	6.26342
2	2	7.06878
2	2	6.24382
2	2	6.26561
2	2	6.85252
2	2	6.88530
2	2	6.96441
2	2	6.25543
2	2	6.26887
2	2	6.24335
2	2	6.24350
1	1	-2.67667
2	2	6.26492
2	2	6.29138
2	2	6.30986
1	1	-2.71147
2	2	7.07712
2	2	6.26747
2	2	6.88950
2	2	12.30692
2	2	5.67552
2	2	6.24333
2	2	6.55424
2	2	6.60620
1	1	-1.78735
2	2	6.27283
2	2	6.94399
1	1	-3.72426
1	1	-5.00191
1	1	-4.04700
2	2	6.38297
2	2	6.26792
2	2	12.59776
2	2	6.87454
2	2	6.59957
2	2	6.24336
2	2	8.52971
1	1	-3.13939
2	2	6.25507
2	2	7.66944
2	2	6.28033
1	1	-2.57232
2	2	7.71578
1	1	-7.76821
2	2	6.89183
2	2	7.16828
2	2	6.24335
1	1	-4.22216
2	2	7.74646
2	2	7.08155
1	1	-3.17931
2	2	6.24835
2	2	6.26112
2	2	6.78174
1	1	-3.46031
2	2	10.98689
2	2	6.72528
1	1	-1.72418
1	1	-3.92143
2	2	6.72528
2	2	7.10031
1	1	-2.42729
2	2	6.29472
2	2	6.85252
2	2	4.59696
2	2	6.24348
2	2	7.53051
2	2	6.65117
2	2	6.95040
1	1	-3.37082
2	2	6.24344
2	2	6.24403
1	1	-2.60086
2	2	7.17699
2	2	6.84756
2	2	6.24361
1	1	-2.82466
2	2	6.24334
2	2	6.27189
2	2	6.24339
2	2	6.24333
1	1	-3.00079
2	2	6.96906
2	2	9.16870
2	2	7.97097
2	2	6.28423
2	2	7.32535
